nProducers	backoffStartTimeout	chunkSize	cleanupCycles	nConsumers	type	Score	Error	Units
4	0	100	1	1	SALSA	566,889	2,530	ops/ms
4	0	100	1	2	SALSA	488,511	4,099	ops/ms
4	0	100	1	4	SALSA	399,130	1,091	ops/ms
4	0	100	1	6	SALSA	414,389	3,633	ops/ms
4	0	100	1	8	SALSA	373,581	4,209	ops/ms
4	0	100	2147483647	1	SALSA	554,905	1,450	ops/ms
4	0	100	2147483647	2	SALSA	531,181	3,372	ops/ms
4	0	100	2147483647	4	SALSA	390,369	1,557	ops/ms
4	0	100	2147483647	6	SALSA	411,979	1,006	ops/ms
4	0	100	2147483647	8	SALSA	409,450	8,086	ops/ms
4	0	500000	1	1	SALSA	545,884	7,375	ops/ms
4	0	500000	1	2	SALSA	528,619	6,402	ops/ms
4	0	500000	1	4	SALSA	391,879	3,672	ops/ms
4	0	500000	1	6	SALSA	405,442	2,526	ops/ms
4	0	500000	1	8	SALSA	402,138	7,581	ops/ms
4	0	500000	2147483647	1	SALSA	546,315	2,858	ops/ms
4	0	500000	2147483647	2	SALSA	522,367	6,367	ops/ms
4	0	500000	2147483647	4	SALSA	391,429	2,967	ops/ms
4	0	500000	2147483647	6	SALSA	410,159	3,116	ops/ms
4	0	500000	2147483647	8	SALSA	395,497	14,761	ops/ms
4	5	100	1	1	SALSA	549,714	2,614	ops/ms
4	5	100	1	2	SALSA	529,478	6,270	ops/ms
4	5	100	1	4	SALSA	388,150	1,488	ops/ms
4	5	100	1	6	SALSA	402,579	15,144	ops/ms
4	5	100	1	8	SALSA	391,227	6,605	ops/ms
4	5	100	2147483647	1	SALSA	551,371	3,166	ops/ms
4	5	100	2147483647	2	SALSA	527,260	4,240	ops/ms
4	5	100	2147483647	4	SALSA	393,512	2,011	ops/ms
4	5	100	2147483647	6	SALSA	399,668	1,081	ops/ms
4	5	100	2147483647	8	SALSA	396,950	9,239	ops/ms
4	5	500000	1	1	SALSA	546,846	3,375	ops/ms
4	5	500000	1	2	SALSA	539,402	6,335	ops/ms
4	5	500000	1	4	SALSA	392,176	4,038	ops/ms
4	5	500000	1	6	SALSA	402,634	1,003	ops/ms
4	5	500000	1	8	SALSA	398,184	10,034	ops/ms
4	5	500000	2147483647	1	SALSA	541,843	3,733	ops/ms
4	5	500000	2147483647	2	SALSA	526,570	17,142	ops/ms
4	5	500000	2147483647	4	SALSA	389,764	2,703	ops/ms
4	5	500000	2147483647	6	SALSA	409,169	1,735	ops/ms
4	5	500000	2147483647	8	SALSA	401,825	7,594	ops/ms
4	50	100	1	1	SALSA	546,000	3,896	ops/ms
4	50	100	1	2	SALSA	530,138	3,540	ops/ms
4	50	100	1	4	SALSA	389,016	1,627	ops/ms
4	50	100	1	6	SALSA	402,422	1,472	ops/ms
4	50	100	1	8	SALSA	403,723	6,092	ops/ms
4	50	100	2147483647	1	SALSA	555,966	8,376	ops/ms
4	50	100	2147483647	2	SALSA	535,894	5,051	ops/ms
4	50	100	2147483647	4	SALSA	387,864	1,292	ops/ms
4	50	100	2147483647	6	SALSA	402,686	1,268	ops/ms
4	50	100	2147483647	8	SALSA	402,958	16,019	ops/ms
4	50	500000	1	1	SALSA	545,224	2,820	ops/ms
4	50	500000	1	2	SALSA	529,875	7,110	ops/ms
4	50	500000	1	4	SALSA	389,855	3,834	ops/ms
4	50	500000	1	6	SALSA	406,845	1,714	ops/ms
4	50	500000	1	8	SALSA	410,910	2,892	ops/ms
4	50	500000	2147483647	1	SALSA	544,837	2,945	ops/ms
4	50	500000	2147483647	2	SALSA	518,351	7,099	ops/ms
4	50	500000	2147483647	4	SALSA	384,256	15,747	ops/ms
4	50	500000	2147483647	6	SALSA	396,441	1,959	ops/ms
4	50	500000	2147483647	8	SALSA	399,701	8,426	ops/ms
